symbol,as_of_date,horizon_days,future_return,future_excess_return,winner_or_loser,company_name,price_stage_before_move,catalyst_summary,source_links_or_notes,archetype,is_theme_catalyst,is_event_driven,is_low_position_reversal,is_high_vol_right_tail,is_fundamental_improvement,is_loss_or_risk_company,captured_by_system,captured_lists,missing_signal,research_notes,research_confidence,captured_positive_lists,captured_risk_lists,captured_as_positive_candidate,captured_as_risk_warning,winner_missed,loser_incorrectly_captured,winner_in_high_risk_active,membership_notes,membership_status,prediction_matched,prediction_future_return,prediction_future_excess_return,missed_winner,polluted_positive_list_loser
sh.600331,2024-01-31,20,0.5129411764705882,0.4151703197948115,winner,宏达股份,低位反弹 / 特殊情况预期,锌化工/有色小盘弹性叠加控股股东重整预期。公开资料显示，公司原控股股东宏达实业、宏达集团在2023年已进入破产重整程序，2024年后续出现公开招募重整投资人、蜀道集团进入等风险出清逻辑；该窗口的大涨更像“低位困境资产的重整预期交易”，不是低风险优质公司稳健上涨。,https://paper.cnstock.com/html/2024-08/20/content_1955420.htm; https://wap.eastmoney.com/a/202310102865516847.html; https://pdf.dfcfw.com/pdf/H3_AP202510211766262121_1.pdf?1761059838000.pdf=,event_revaluation; distressed_restructuring_repricing; low_position_reversal,否,是,是,是,否,是,False,,若未被抓住，缺的可能不是技术趋势，而是重整/控制权变化/风险出清事件信号。,赢家但不是“安全股”。核心研究启发：困境反转和风险出清可能带来极强20D弹性；需要单独归为事件重估型，不能混入普通高置信质量榜。,中高,,,False,False,True,False,False,missed_winner,complete,True,0.5129411764705882,0.4151703197948115,True,False
sh.600207,2024-01-31,20,0.3840000000000001,0.2862291433242234,winner,安彩高科,低位反弹 / 主题修复,公司主营高端玻璃、光伏玻璃、光热玻璃、燃气等，市场容易按光伏玻璃/玻璃基板/国企改革等主题定价。2024年光伏链阶段性过剩风险仍在，但反弹期容易形成题材修复交易；大涨更像“低位光伏玻璃题材弹性”，不等于基本面全面改善。,https://m.acht.com.cn/tzzgx/; https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=10457304&stockid=600207; https://vip.stock.finance.sina.com.cn/corp/go.php/vCB_AllNewsStock/symbol/sh600207.phtml,theme_policy_catalyst; cycle_repair; high_volatility_right_tail,是,否,是,是,否,否,False,,若未被抓住，可能缺少光伏玻璃/玻璃基板等主题热度和低位修复识别。,该类股票代表“行业压力中反弹”，不是传统低风险；需要区分行业长期基本面压力和短期主题弹性。,中,,,False,False,True,False,False,missed_winner,complete,True,0.3840000000000001,0.2862291433242234,True,False
sh.600133,2024-01-31,20,0.3790322580645162,0.2812614013887395,winner,东湖高新,低位修复 / 资产重估,地方国企、环保/园区运营属性，2023-2024年公司处于业务结构调整和资产重估讨论中；东湖高新也有光谷/数据集团/湖北数字经济等市场想象空间。该窗口大涨更像“地方国资+资产/园区/数字经济预期”的低位重估，不是简单技术趋势。,https://quotes.sina.cn/hs/company/quotes/view/sh600133?position=f10; https://600133.fupanwang.com/; https://www.aniu.com/gp/600133,state_owned_asset_revaluation; theme_policy_catalyst; low_position_reversal,是,否,是,否,否,否,False,,可能缺地方国资、园区资产、数字经济资产重估等非价格因子。,它提示系统需要有“地方国资/资产重估/园区平台”标签，而不是只用价格和流动性解释。,中,,,False,False,True,False,False,missed_winner,complete,True,0.3790322580645162,0.2812614013887395,True,False
sh.600114,2024-01-31,20,0.3650943396226416,0.2673234829468649,winner,东睦股份,趋势延续 / 消费电子预期修复,公司以粉末冶金P&S、软磁材料SMC、金属注射成形MIM为核心技术平台，市场在2024年多次按折叠屏铰链、消费电子复苏、AI硬件/机器人材料等成长叙事交易。该赢家更像“成长主题+技术平台+趋势延续”。,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=10822592&stockid=600114; https://pdf.dfcfw.com/pdf/H3_AP202405201633863213_1.pdf; https://dabanke.com/gupiao-600114.html,trend_continuation; consumer_electronics_recovery; technology_platform_repricing,是,否,否,否,是,否,False,,若未被抓住，可能是缺少MIM/折叠屏/软磁材料等产业标签。,这是较接近“正向榜单应该抓到”的类型：技术平台清楚、趋势和产业预期都有。后续应看它是否在trend/high_confidence。,高,,,False,False,True,False,False,missed_winner,complete,True,0.3650943396226416,0.2673234829468649,True,False
sh.601918,2024-01-31,20,0.3581081081081081,0.2603372514323314,winner,新集能源,趋势延续 / 高股息煤电重估,公司是煤炭+煤电联营资产，公开资料显示其推进板集电厂二期、上饶/滁州/六安等煤电项目，具备资源储量和煤电一体化逻辑。2024年初高股息、央国企、煤电一体化资产受市场青睐，该涨幅更像“资源+电力+高股息重估”。,https://notice.10jqka.com.cn/api/pdf/35e0f0c9d43d60b6.pdf; https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=10797867&stockid=601918,cycle_resource_repricing; high_dividend_state_owned; trend_continuation,是,否,否,否,是,否,True,trend_leaders;breakout_watch,若未被抓住，可能缺少高股息/煤电联营/央企能源资产重估标签。,这类更像稳定资源资产被重新定价，和小盘妖股不同；可作为“稳健周期重估型”样本。,高,trend_leaders;breakout_watch,,True,False,False,False,False,membership_aligned,complete,True,0.3581081081081081,0.2603372514323314,False,False
sh.600097,2024-01-31,20,-0.2963302752293578,-0.3941011319051345,loser,开创国际,高位回落 / 防御资产失效,公司主营金枪鱼、南极磷虾远洋捕捞及水产加工贸易。远洋捕捞受气候、渔场资源、入渔国政策、鱼价、燃油、汇率等多因素影响，业绩波动风险大。该窗口大跌更像缺少持续资金关注后的回落，基本面弹性和市场关注度都不足。,https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=10825165&stockid=600097; https://roadshow.sseinfo.com/activityDetails/32095; https://stockmc.xueqiu.com/202603/600097_20260328_A5JX.pdf,fundamental_weakness_loser; low_attention_cyclical_loser,否,否,否,否,否,是,False,,如果系统未提前识别风险，可能缺少行业景气、流动性退潮、远洋捕捞业绩波动风险信号。,输家样本。它提示：没有明确催化、行业波动风险高、资金关注弱的股票即使看似防御，也可能大幅跑输。,中,,,False,False,False,False,False,membership_aligned,complete,True,-0.2963302752293578,-0.3941011319051345,False,False
sz.300425,2024-01-31,20,-0.2823129251700681,-0.3800837818458448,loser,中建环能,低位弱势 / 主题缺乏持续性,公司聚焦水环境治理、工业废水处理、离心分离机械等环保业务，契合双碳和城镇污水处理方向，但该行业订单周期长、估值弹性弱。该窗口大跌更像环保小盘股在缺乏新催化时的资金退潮。,https://static.cninfo.com.cn/finalpage/2025-04-23/1223212883.PDF; https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=10931977&stockid=300425; https://q.stock.sohu.com/cn/300425/index.shtml,theme_fade_loser; low_liquidity_growth_loser,否,否,否,否,否,否,True,breakout_watch,可能缺少“环保主题退潮/订单兑现慢/小盘资金退潮”风险识别。,输家样本。环保逻辑长期存在，但短周期20D未必有资金弹性。,中,breakout_watch,,True,False,False,True,False,polluted_positive_list_loser,complete,True,-0.2823129251700681,-0.3800837818458448,False,True
sh.600119,2024-01-31,20,-0.2725409836065574,-0.3703118402823341,loser,长江投资,高波动退潮 / 风险累积,公司历史上有长江经济带、物流、上海国资等题材属性，但后续资料显示其曾因营收和亏损问题被实施退市风险警示。该窗口大跌更像高波动题材退潮叠加基本面承压。,https://vip.stock.finance.sina.com.cn/corp/go.php/vCB_AllBulletin/stockid/600119.phtml?ftype=ndbgzy; https://quote.eastmoney.com/sh600119.html?jump_to_web=true; https://600119.fupanwang.com/,risk_bucket_loser; theme_fade_loser; fundamental_weakness_loser,否,否,否,是,否,是,False,,需要识别题材退潮+财务/退市风险组合。,输家样本。注意这种票可能前期也有题材弹性，但没有持续基本面支撑，容易从机会变风险。,中,,,False,False,False,False,False,membership_aligned,complete,True,-0.2725409836065574,-0.3703118402823341,False,False
sh.600101,2024-04-30,20,0.714810281517748,0.7215991059257768,winner,明星电力,低位启动 / 主题爆发,区域供电、供水和综合能源服务企业。2024年5月电力股出现涨停潮，明星电力因连续涨停发布异动公告，市场按电力改革、新型电力系统、区域供电资产重估交易。该股是典型“政策主题+区域电力资产+低位重估”。,https://m.21jingji.com/article/20240528/herald/bf8ea3c27b228ab0514e67493696f0c8_zaker.html; https://emweb.securities.eastmoney.com/pc_hsf10/pages/index.html?code=SH600101&color=b&type=web,theme_policy_catalyst; low_position_reversal; regional_utility_repricing,是,否,是,是,否,否,True,accumulation_watch,如果没抓住，缺的是电改主题热度、区域供电资产重估和低位启动识别。,强赢家。它说明大涨来自政策/行业主题切入低关注资产，而非静态财务质量。,高,accumulation_watch,,True,False,False,False,False,membership_aligned,complete,True,0.714810281517748,0.7215991059257768,False,False
sh.600171,2024-04-30,20,0.3182897862232781,0.3250786106313069,winner,上海贝岭,趋势启动 / 半导体周期修复,半导体设计公司，2024年上半年营收增长、利润扭亏，市场同时交易半导体周期回暖、国产替代、AI/消费电子需求修复。该窗口作为winner时，更像“行业周期修复+业绩边际改善+趋势启动”。,https://basic.10jqka.com.cn/600171/; https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=10822592&stockid=600114; https://cls.cn/detail/1840113,industry_recovery; trend_continuation; semiconductor_repricing,是,否,是,是,是,否,False,,系统应识别半导体周期修复、利润扭亏、早期趋势；同时需要阶段位置控制，因为该股后续窗口转为loser。,非常关键的阶段性样本：4月是机会，7月/10月变风险；说明同一股票不能贴固定标签，要识别拥挤程度和位置。,中,,,False,False,True,False,False,missed_winner,complete,True,0.3182897862232781,0.3250786106313069,True,False
sh.600301,2024-04-30,20,0.2141538461538461,0.220942670561875,winner,华锡有色,趋势延续 / 资源品重估,主营锡、锑、铅、锌等有色金属，公开年报提示主要利润来源受有色金属价格波动影响。2024年有色/资源品价格和稀缺小金属逻辑较强，该窗口上涨更像“锡锑等资源品价格弹性+资产注入后业绩承诺兑现”的资源重估。,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=11071675&stockid=600301; https://dataclouds.cninfo.com.cn/shgonggao/2025/2025-04-30/3865dd3924ea11f09a81fa163e957f7a.pdf,cycle_resource_repricing; commodity_price_beta; trend_continuation,是,否,否,否,是,否,False,,需要资源价格/小金属景气度和资产重估标签。,代表资源品周期股。风险不是经营爆雷，而是商品价格波动。,高,,,False,False,True,False,False,missed_winner,complete,True,0.2141538461538461,0.220942670561875,True,False
sh.600310,2024-04-30,20,0.2118380062305296,0.2186268306385584,winner,广西能源,低位启动 / 电力主题,公司由桂东电力更名，经营发电、供电、电力投资开发等。市场通常按水电、火电、电力体制改革、区域能源平台交易。该窗口上涨与同期电力改革/公用事业资产重估环境一致，更像低位电力资产主题行情。,https://quotes.sina.cn/hs/company/quotes/view/sh600310?position=f10; https://www.sohu.com/a/1031626710_115377; https://m.21jingji.com/article/20240528/herald/bf8ea3c27b228ab0514e67493696f0c8_zaker.html,theme_policy_catalyst; regional_utility_repricing; low_position_reversal,是,否,是,否,否,否,False,,缺少电改/水电/区域能源平台主题标签。,与明星电力类似但强度略弱，是电力改革主题的扩散样本。,中高,,,False,False,True,False,False,missed_winner,complete,True,0.2118380062305296,0.2186268306385584,True,False
sh.600266,2024-04-30,20,0.1979695431472081,0.204758367555237,winner,城建发展,低位反弹 / 政策修复,北京国资地产/城市开发平台。2024年房地产政策密集优化，地产股阶段性出现估值修复；城建发展这类地方国资地产股可能受到政策预期、资产重估、低估值修复驱动。不是高成长股，更像“地产政策贝塔+国资平台修复”。,https://quote.eastmoney.com/sh600266.html?jump_to_web=true; https://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600266/page_type/ndbg.phtml,policy_beta_rebound; real_estate_repair; low_position_reversal,是,否,是,否,否,否,False,,需要地产政策贝塔和低位国资地产修复识别。,该类股票20D涨幅可能来自政策预期，不代表基本面已经彻底修复。,中,,,False,False,True,False,False,missed_winner,complete,True,0.1979695431472081,0.204758367555237,True,False
sh.600360,2024-04-30,20,-0.5596774193548387,-0.5528885949468099,loser,华微电子,高位/题材退潮,功率半导体公司，半导体主题弹性高，但业绩和治理/信息披露风险会放大波动。该窗口大跌更像前期题材拥挤后退潮，或者资金从弱基本面半导体标的撤出。,https://quote.eastmoney.com/sh600360.html?jump_to_web=true; https://q.stock.sohu.com/cn/600360/index.shtml,high_position_crowding_reversal; semiconductor_theme_fade_loser,否,否,否,是,否,是,False,,需要识别高位半导体题材退潮、基本面支撑不足和高波动风险。,输家样本。半导体标签本身不是买入理由，阶段位置和拥挤度决定风险。,中,,,False,False,False,False,False,membership_aligned,complete,True,-0.5596774193548387,-0.5528885949468099,False,False
sh.600234,2024-04-30,20,-0.5151515151515151,-0.5083626907434863,loser,科新发展,风险事件 / ST压力,公司2024年4月30日起被实施退市风险警示，前期还涉及重大诉讼和风险提示。该窗口大跌发生在ST/退市风险预期暴露阶段，属于典型不可接受风险，不是普通波动。,https://www.ccnew.com/main/a/20250516/3112703.shtml; https://news.shdjt.com/newsgpdm.asp?gpdm=600234,delisting_risk_loser; negative_event_loser; risk_bucket_loser,否,是,否,是,否,是,False,,必须能识别ST/退市风险/重大诉讼类硬风险，并从正向榜单剔除或强降级。,非常重要的loser。后续同一股票在2024-07-31成为winner，说明ST风险出清/摘帽预期阶段可能转为反弹机会。,高,,,False,False,False,False,False,membership_aligned,complete,True,-0.5151515151515151,-0.5083626907434863,False,False
sh.600381,2024-04-30,20,-0.4779735682819382,-0.4711847438739094,loser,青海春天,事件冲击后下跌 / 风险警示,听花酒在2024年央视3·15晚会被曝光，随后公司被实施ST，公开报道显示4年净利润累计亏损逾11亿元，听花相关子公司还收到行政处罚。该窗口大跌是典型负面事件+经营风险暴露。,https://finance.sina.cn/2024-05-15/detail-inavhmav0226638.d.html; https://wap.eastmoney.com/a/202403153013959284.html; https://www.eeo.com.cn/2024/0731/676419.shtml,negative_event_loser; brand_crisis_loser; risk_bucket_loser,否,是,否,是,否,是,False,,需要新闻/监管/处罚/315曝光等事件风险信号。,典型“硬负面事件”输家，应作为风险桶训练/验证样本。,高,,,False,False,False,False,False,membership_aligned,complete,True,-0.4779735682819382,-0.4711847438739094,False,False
sh.600326,2024-07-31,20,0.2591743119266054,0.304376225046458,winner,西藏天路,低位主题启动 / 高换手,8月公司搭上大基建概念并连续涨停；公开报道显示公司公告称主营和日常经营未发生重大变化，同时提示换手率高、交易风险。上涨逻辑是西藏区域基建/水泥建材/政策主题脉冲，不是基本面突然改善。,https://news.qq.com/rain/a/20240815A09ZWC00; https://quote.eastmoney.com/sh600326.html?jump_to_web=true,theme_policy_catalyst; regional_infrastructure; high_volatility_right_tail,是,否,是,是,否,否,False,,若未抓住，缺少区域政策/大基建主题和放量异动识别。,这类应做“主题右尾机会”而不是高置信稳健候选。,高,,,False,False,True,False,False,missed_winner,complete,True,0.2591743119266054,0.304376225046458,True,False
sh.600165,2024-07-31,20,0.213903743315508,0.2591056564353605,winner,ST宁科 / 宁科生物,极低位反弹 / ST风险博弈,公司属于ST/风险股，主营活性炭、月桂酸等相关业务。该窗口成为winner更像ST低价股超跌反弹或风险博弈，未必代表基本面改善。此类样本说明：部分大涨来自“可交易风险”，但必须强风险标注。,https://quote.eastmoney.com/sh600165.html; https://finance.yahoo.com/quote/600165.SS/,oversold_rebound; high_volatility_right_tail; st_risk_rebound,否,否,是,是,否,是,True,accumulation_watch,需要区分ST风险股的超跌反弹机会和不可接受风险；不能进入普通高置信。,赢家但风险很高。它证明“好股”研究不能只看涨幅，必须分型。,中,accumulation_watch,,True,False,False,False,False,membership_aligned,complete,True,0.213903743315508,0.2591056564353605,False,False
sh.600375,2024-07-31,20,0.1802469135802469,0.2254488267000994,winner,汉马科技,困境反转 / 重整预期,重卡行业竞争导致盈利能力薄弱，2023年预告净资产可能为负并面临退市风险；2024年公司主动申请司法重整以化解风险，后续年报披露法院裁定批准重整计划并终止重整程序。7月窗口上涨更像“重整/新能源重卡转型预期”的困境反转。,https://www.stcn.com/article/detail/1111469.html; https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=10810049&stockid=600375,event_revaluation; distressed_restructuring_repricing; new_energy_truck_turnaround,是,是,是,是,否,是,False,,如果未被抓住，缺少司法重整/新能源重卡转型/风险出清事件信号。,风险极高但弹性也高。属于“困境反转型”，不能和低风险好公司混在一起。,高,,,False,False,True,False,False,missed_winner,complete,True,0.1802469135802469,0.2254488267000994,True,False
sh.600377,2024-07-31,20,0.1622670807453416,0.2074689938651942,winner,宁沪高速,稳健趋势 / 防御资产重估,高速公路标的，现金流和分红稳定，券商资料将其视为高股息、稳增长、类债券、防御属性资产。7月市场弱势背景下，宁沪高速上涨更像“高股息防御+稳健现金流”的低波动赢家。,https://pdf.dfcfw.com/pdf/H3_AP202312271615032784_1.pdf; https://emweb.eastmoney.com/PC_HSF10/ResearchReport/Index?code=SH600377&type=soft,stable_quality_compounder; high_dividend_defensive; trend_continuation,否,否,否,否,是,否,True,high_confidence_candidates;trend_leaders;long_term_stable,若未抓住，可能缺少高股息、防御资产、类债券属性标签。,与右尾妖股不同，这是少数真正偏“稳健质量”的赢家。,高,high_confidence_candidates;trend_leaders;long_term_stable,,True,False,False,False,False,membership_aligned,complete,True,0.1622670807453416,0.2074689938651942,False,False
sh.600234,2024-07-31,20,0.131578947368421,0.1767808604882735,winner,科新发展,ST低位反弹 / 风险博弈,4月窗口它是大跌loser，7月窗口转为winner，说明市场可能在交易ST低价股超跌反弹、退市风险边际缓和或摘帽预期。后续公告显示公司2024年度利润和净资产转正并申请/获同意撤销退市风险警示，但这并不代表7月时风险已经完全解除。,https://www.ccnew.com/main/a/20250516/3112703.shtml; https://news.shdjt.com/newsgpdm.asp?gpdm=600234,oversold_rebound; event_revaluation; st_risk_rebound,否,是,是,是,否,是,True,accumulation_watch,需要识别同一风险股从“退市风险暴露”到“风险边际缓和/超跌反弹”的状态切换。,非常关键的阶段案例：同一股票在不同as-of状态下可从loser变winner。,高,accumulation_watch,,True,False,False,False,False,membership_aligned,complete,True,0.131578947368421,0.1767808604882735,False,False
sh.600238,2024-07-31,20,-0.2528216704288938,-0.2076197573090412,loser,海南椰岛,高风险反弹失败 / 经营承压,公司酒业/饮料业务承压，2024年度预计/实际亏损，后续被*ST；公告和报道提到合作分歧、预付款项无法充分判断、净亏损等问题。7月窗口大跌更像高风险消费酒企反弹失败。,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=11079565&stockid=600238; https://www.yuanben.io/article/3WVHX7N83FJB4W1YZ2W2MZ8WRC9JT4902DKCN6DI8ROGKAYMV5; https://emweb.eastmoney.com/PC_HSF10/NewsBulletin/Index?code=SH600238&type=soft,fundamental_weakness_loser; risk_bucket_loser; consumer_brand_loser,否,是,否,是,否,是,False,,需要识别亏损、ST风险、酒业经营分歧/预付款不确定性等硬风险。,输家样本，和青海春天类似，消费品牌风险暴露后容易持续弱势。,高,,,False,False,False,False,False,membership_aligned,complete,True,-0.2528216704288938,-0.2076197573090412,False,False
sh.600386,2024-07-31,20,-0.2342632186881912,-0.1890613055683386,loser,北巴传媒,题材退潮 / 高位拥挤,公司与公交广告、汽车服务等相关，2024年自动驾驶/Robotaxi概念在市场中极热，北巴传媒容易被资金按车路云/Robotaxi外溢概念交易。但这类概念往往基本面兑现慢，题材退潮后容易大幅回落。,https://m.sfccn.com/2024/8-17/wMMDE0MDdfMTk0MzAwMw.html; https://www.cls.cn/detail/2091021; https://600386.fupanwang.com/,theme_fade_loser; high_position_crowding_reversal; robotaxi_concept_loser,是,否,否,是,否,否,True,high_risk_active,需要识别题材拥挤度、兑现慢和高位追涨风险。,输家样本。Robotaxi概念强，但不是所有关联股都有真实收入支撑。,中,,high_risk_active,False,True,False,False,False,membership_aligned,complete,True,-0.2342632186881912,-0.1890613055683386,False,False
sh.600327,2024-10-31,20,0.8333333333333333,0.8380850454464662,winner,大东方,高波动加速 / 连续涨停,2024年11月18日至20日股价偏离值累计达21.37%，11月21日再度涨停；公告提示三日换手率50.77%、成交额22.59亿元、短期波动较大，且前三季度净利润同比下降23.08%，未发现应披露未披露重大信息。典型资金推动/情绪右尾，不是基本面稳健改善。,https://www.rccaijing.com/news-7265295396942575467.html; https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=10005501&stockid=600327,high_volatility_right_tail; speculative_momentum; non_fundamental_surge,否,否,否,是,否,是,False,,需要识别连续涨停、换手过高、无重大事项等右尾机会/风险并存结构。,极端赢家，但不应进入高置信质量榜。应归为“右尾机会+强风险提示”。,高,,,False,False,True,False,False,missed_winner,complete,True,0.8333333333333333,0.8380850454464662,True,False
sh.600206,2024-10-31,20,0.7765217391304349,0.7812734512435678,winner,有研新材,主题加速 / 半导体材料右尾,公司材料业务涉及稀土、贵金属、半导体材料、光电材料等，年报资料提到布局稀土磁性材料、靶材等。2024年11月股价多次触发异常波动，市场按半导体材料/靶材/国产替代主题集中交易，涨幅巨大但伴随短期风险提示。,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=11065620&stockid=600206; https://data.eastmoney.com/stockdata/600206.html; https://xueqiu.com/S/SH600206/time?page=97,semiconductor_materials_acceleration; theme_policy_catalyst; high_volatility_right_tail,是,否,否,是,否,否,False,,需要半导体材料/靶材主题热度、价格加速、异常波动风险标注。,典型右尾赢家。适合研究“主题加速型”，不适合直接称为低风险好股。,高,,,False,False,True,False,False,missed_winner,complete,True,0.7765217391304349,0.7812734512435678,True,False
sh.600333,2024-10-31,20,0.534934497816594,0.5396862099297269,winner,长春燃气,题材脉冲 / 季节性燃气行情,11月下旬燃气股异动，长春燃气2连板；市场消息解释为冬季供暖开启、天然气需求进入旺季、多地启动气价联动。公司本身历史上业绩波动并有亏损压力，涨幅更像燃气题材脉冲，而非长期基本面确认。,https://600333.fupanwang.com/; https://data.eastmoney.com/stockdata/600333.html; https://vip.stock.finance.sina.com.cn/corp/go.php/vCB_AllBulletin/stockid/600333.phtml?ftype=gzbc,theme_policy_catalyst; seasonal_gas_momentum; high_volatility_right_tail,是,否,否,是,否,是,False,,需要燃气季节性/价格联动主题和亏损风险并存识别。,赢家但风险较高。它提醒：题材脉冲可以带来20D大涨，但不能等同于高质量公司。,中高,,,False,False,True,False,False,missed_winner,complete,True,0.534934497816594,0.5396862099297269,True,False
sh.600345,2024-10-31,20,0.4678001030396703,0.4725518151528033,winner,长江通信,资产重组/通信主题加速,武汉长江通信具备通信、车联网、智能交通等题材属性，并长期存在资产重组/发行股份购买资产相关事项。10月31日后上涨可能与通信/车路云/卫星导航/重组预期等题材共振有关。该类更像“通信主题+资产重组预期”的高波动弹性。,https://vip.stock.finance.sina.com.cn/corp/go.php/vCB_AllBulletin/stockid/600345.phtml; https://q.stock.sohu.com/cn/600345/index.shtml; https://quote.eastmoney.com/sh600345.html?jump_to_web=true,event_revaluation; communication_theme; high_volatility_right_tail,是,是,否,是,否,否,False,,需要资产重组进展、通信/车路云/卫星导航主题热度识别。,赢家。源信息对具体11月驱动不如有研/大东方清晰，建议后续人工补充具体异动公告。,中,,,False,False,True,False,False,missed_winner,complete,True,0.4678001030396703,0.4725518151528033,True,False
sh.600104,2024-10-31,20,0.3543123543123543,0.3590640664254872,winner,上汽集团,低位大票重估,2024年11月市场已有上汽与华为合作接触传闻，后续合作消息持续发酵。上汽本身销量和利润承压，但大票低位叠加新能源/智能车/华为合作预期，容易触发估值修复。该涨幅是“低位大票产业催化型”，不同于小盘题材妖股。,https://www.21jingji.com/article/20250211/herald/cccfeb191343bc694c12da475b19b1de.html; https://www.saicmotor.com/chinese/xwzx/mtbd/61041.shtml; https://www.mycaijing.com/article/detail/540618?source_id=40,low_position_large_cap_revaluation; industry_partnership_catalyst; smart_ev_repricing,是,是,是,否,否,否,True,accumulation_watch,需要产业合作传闻/智能车主题/低位大票估值修复识别。,重要赢家。它证明右尾不全是小盘妖股，大市值低位资产在强产业催化下也能大涨。,高,accumulation_watch,,True,False,False,False,False,membership_aligned,complete,True,0.3543123543123543,0.3590640664254872,False,False
sh.600198,2024-10-31,20,-0.3623456790123456,-0.3575939668992126,loser,大唐电信,重组题材后回落 / 高位风险,公司2024年推进重大资产重组，出售部分资产并购买大唐微电子股权，聚焦“安全芯片+特种通信”。10月末曾被市场按安全芯片、低空经济、国企改革等题材交易；随后窗口内大跌，说明题材拥挤后容易快速回撤。,https://finance.eastmoney.com/a/202410153206823884.html; https://basic.10jqka.com.cn/600198/; https://dabanke.com/gupiao-600198.html; https://www.datang.com/gydt.html,high_position_crowding_reversal; restructuring_theme_fade_loser; chip_theme_loser,是,是,否,是,否,是,False,,需要识别重组题材已被充分交易后的高位拥挤风险。,输家样本。和赢家中的重组/主题股形成对照：同样是重组主题，阶段位置错了就是风险。,高,,,False,False,False,False,False,membership_aligned,complete,True,-0.3623456790123456,-0.3575939668992126,False,False
sh.600246,2024-10-31,20,-0.2901662049861495,-0.2854144928730165,loser,万通发展,跨界并购预期后回落,公司筹划收购索尔思光电，标的是光芯片、光组件、光模块供应商，涉及数据中心/电信通信高景气方向；但交易存在不确定性并引发交易所问询，后续重组终止。该窗口大跌更像“跨界光通信并购预期退潮/兑现不确定性”的回落。,https://www.stcn.com/article/detail/1048489.html; https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=10289663&stockid=600246; https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=9662927&stockid=600246; https://www.21jingji.com/article/20250126/herald/aaeb85a764ca2c10217498ff3caeb7ee.html,negative_event_loser; cross_border_acquisition_uncertainty; high_position_crowding_reversal,是,是,否,是,否,是,False,,需要识别跨界并购不确定性、问询函、重大资产重组失败/终止风险。,输家样本。不是题材不强，而是交易结构和不确定性风险太高。,高,,,False,False,False,False,False,membership_aligned,complete,True,-0.2901662049861495,-0.2854144928730165,False,False
